link_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,from_biway,is_link,vdf_toll,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes
442,2421,108,1,278.27,1,90,99999,connector,0,"LINESTRING (-111.9112374 33.3580452, -111.90830818870883 33.35754287320252)",1,0,0,,0.15,4,1,0.17,55.0,55.0,0.19,,,,
443,109,2742,1,575.84,1,90,99999,connector,0,"LINESTRING (-111.91743264383663 33.38440866486201, -111.9215496 33.3805322)",1,0,0,,0.15,4,1,0.36,55.0,55.0,0.38,,,,
444,2742,109,1,575.84,1,90,99999,connector,0,"LINESTRING (-111.9215496 33.3805322, -111.91743264383663 33.38440866486201)",1,0,0,,0.15,4,1,0.36,55.0,55.0,0.38,,,,
445,110,2734,1,310.57,1,90,99999,connector,0,"LINESTRING (-111.94987446768441 33.424953835387974, -111.9522239 33.422964)",1,0,0,,0.15,4,1,0.19,55.0,55.0,0.21,,,,
446,2734,110,1,310.57,1,90,99999,connector,0,"LINESTRING (-111.9522239 33.422964, -111.94987446768441 33.424953835387974)",1,0,0,,0.15,4,1,0.19,55.0,55.0,0.21,,,,
447,111,1115,1,150.05,1,90,99999,connector,0,"LINESTRING (-111.93197884348488 33.43877189724282, -111.9304811 33.4392754)",1,0,0,,0.15,4,1,0.09,55.0,55.0,0.1,,,,
448,1115,111,1,150.05,1,90,99999,connector,0,"LINESTRING (-111.9304811 33.4392754, -111.93197884348488 33.43877189724282)",1,0,0,,0.15,4,1,0.09,55.0,55.0,0.1,,,,
449,112,2975,1,60.04,1,90,99999,connector,0,"LINESTRING (-111.93068796225722 33.41567702975922, -111.9301514 33.4159779)",1,0,0,,0.15,4,1,0.04,55.0,55.0,0.04,,,,
450,2975,112,1,60.04,1,90,99999,connector,0,"LINESTRING (-111.9301514 33.4159779, -111.93068796225722 33.41567702975922)",1,0,0,,0.15,4,1,0.04,55.0,55.0,0.04,,,,
451,113,432,1,349.85,1,90,99999,connector,0,"LINESTRING (-111.94204862652056 33.342462120583455, -111.945747 33.3419016)",1,0,0,,0.15,4,1,0.22,55.0,55.0,0.23,,,,
